gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G33760,10.3633129316877,2.46407554570197,0.896636445702907,2.74813226420914,0.00599358258051247,0.0254025574481129,yes,up,0.95500345639396,0.775617844060371,cotyledon,Leaf_Shoot,tissue_specific
AT1G58300,5.05996601089934,2.07323338600416,0.470977965404382,4.4019753328037,1.07269755033213e-05,0.000136746636262973,yes,up,0.715780949936978,0.32775881368597,cotyledon,Leaf_Shoot,tissue_specific
AT1G74440,45.7699807656694,1.53981275774898,0.170332996634645,9.04001449027396,1.56651050631541e-19,6.29865626039311e-17,yes,up,0.685396338345745,0.450569903449455,cotyledon,Leaf_Shoot,tissue_specific
AT2G01300,17.6816246998317,1.1601531032141,0.360456027710882,3.2185704053329,0.00128831338973166,0.00735361007911298,yes,up,0.807339275959141,0.470063643591963,cotyledon,Leaf_Shoot,tissue_specific
AT2G20142,25.02545246515,1.92689687284889,0.282989393583652,6.80907806631026,9.82261702601302e-12,7.72177332682761e-10,yes,up,0.822084830416508,0.532664592729026,cotyledon,Leaf_Shoot,tissue_specific
AT2G32140,8.9267648024827,1.73116809915667,0.315537610508249,5.48640809052272,4.10188684803472e-08,1.20921849425177e-06,yes,up,0.824225307432739,0.462924623707064,cotyledon,Leaf_Shoot,tissue_specific
AT3G28340,64.5784688505499,1.08941057338998,0.22472321321996,4.84778834273637,1.24845496031462e-06,2.22859205324866e-05,yes,up,0.739226005279562,0.339343137372091,cotyledon,Leaf_Shoot,tissue_specific
AT3G44260,197.153713201339,1.88454632058855,0.303549558863725,6.20836455056287,5.35388393854611e-10,2.67989206858613e-08,yes,up,0.808585931822875,0.444557627157873,cotyledon,Leaf_Shoot,tissue_specific
AT3G44860,10.3427284926063,1.89524928087677,0.541000194298075,3.5032321630416,0.000459648651151901,0.00314471477456142,yes,up,0.87076724336604,0.723971299203068,cotyledon,Leaf_Shoot,tissue_specific
AT4G27280,269.408010968916,1.72604920513763,0.296018489155762,5.8308830980804,5.5134801973563e-09,2.11152127426823e-07,yes,up,0.755222528395914,0.343960599053371,cotyledon,Leaf_Shoot,tissue_specific
AT4G31800,263.031038423967,1.44741247271524,0.321861182889837,4.49700849204499,6.89162366270363e-06,9.42726456079932e-05,yes,up,0.774445112077013,0.633435693180931,cotyledon,Leaf_Shoot,tissue_specific
AT5G41740,256.167279008981,1.76004426719912,0.255198614449132,6.89676262936742,5.32009652866818e-12,4.54655078601549e-10,yes,up,0.879663229216062,0.596387842678969,cotyledon,Leaf_Shoot,tissue_specific
AT5G45340,172.98097288414,2.20230807586144,0.382863933699107,5.75219518481007,8.80920069066907e-09,3.15964703854996e-07,yes,up,0.824783253355091,0.377843843082217,cotyledon,Leaf_Shoot,tissue_specific
AT5G54720,70.2415192890452,1.47685005953637,0.239292578450992,6.17173365382426,6.75452180328691e-10,3.28706659264322e-08,yes,up,0.900097706542987,0.702674020472608,cotyledon,Leaf_Shoot,tissue_specific
AT5G57560,774.45730768785,1.50504398427252,0.404321669560027,3.72239258388074,0.000197343871425524,0.00156947248198892,yes,up,0.746109592230549,0.522702875824013,cotyledon,Leaf_Shoot,tissue_specific
